ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Runtime
1,Inception,2010,13+,8.8,87%,1,0,0,0,148.0
2,The Matrix,1999,18+,8.7,87%,1,0,0,0,136.0
3,Avengers: Infinity War,2018,13+,8.5,84%,1,0,0,0,149.0
4,Back to the Future,1985,7+,8.5,96%,1,0,0,0,116.0
5,"The Good, the Bad and the Ugly",1966,18+,8.8,97%,1,0,1,0,161.0
6,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%,1,0,0,0,117.0
7,The Pianist,2002,18+,8.5,95%,1,0,1,0,150.0
8,Django Unchained,2012,18+,8.4,87%,1,0,0,0,165.0
9,Raiders of the Lost Ark,1981,7+,8.4,95%,1,0,0,0,115.0
10,Inglourious Basterds,2009,18+,8.3,89%,1,0,0,0,153.0
11,Taxi Driver,1976,18+,8.3,95%,1,0,0,0,114.0
12,3 Idiots,2009,13+,8.4,100%,1,0,1,0,170.0
13,Pan's Labyrinth,2006,18+,8.2,95%,1,0,0,0,118.0
14,Room,2015,18+,8.1,93%,1,0,0,0,118.0
15,Monty Python and the Holy Grail,1975,7+,8.2,97%,1,0,0,0,91.0
16,Once Upon a Time in the West,1968,13+,8.5,95%,1,0,1,0,165.0
17,Indiana Jones and the Last Crusade,1989,13+,8.2,88%,1,0,0,0,127.0
18,Groundhog Day,1993,7+,8.0,96%,1,0,0,0,101.0
19,The King's Speech,2010,18+,8.0,95%,1,0,0,0,118.0
20,Her,2013,18+,8.0,95%,1,0,0,0,126.0
21,There Will Be Blood,2007,18+,8.2,91%,1,0,0,0,158.0
22,The Social Network,2010,13+,7.7,96%,1,0,0,0,120.0
23,Dallas Buyers Club,2013,18+,8.0,93%,1,0,0,0,117.0
24,The Perks of Being a Wallflower,2012,13+,8.0,86%,1,0,0,0,103.0
25,Life of Brian,1979,18+,8.1,95%,1,0,0,0,94.0
26,Ex Machina,2015,18+,7.7,92%,1,0,0,0,108.0
27,Silver Linings Playbook,2012,18+,7.7,92%,1,0,0,0,122.0
28,District 9,2009,18+,7.9,90%,1,0,0,0,112.0
29,The Irishman,2019,18+,7.9,96%,1,0,0,0,209.0
30,Moon,2009,18+,7.9,90%,1,0,0,0,97.0
31,Marriage Story,2019,18+,8.0,95%,1,0,0,0,137.0
32,Drive,2011,18+,7.8,92%,1,0,1,0,100.0
34,Incredibles 2,2018,7+,7.6,94%,1,0,0,0,118.0
35,Dangal,2016,7+,8.4,88%,1,0,0,0,161.0
36,Klaus,2019,7+,8.2,94%,1,0,0,0,96.0
37,Minority Report,2002,13+,7.6,90%,1,0,0,0,145.0
38,Mystic River,2003,18+,7.9,88%,1,0,0,0,138.0
39,Like Stars on Earth,2007,7+,8.4,91%,1,0,0,0,165.0
40,Ferris Bueller's Day Off,1986,13+,7.8,80%,1,0,0,0,103.0
41,Despicable Me,2010,7+,7.6,81%,1,0,0,0,95.0
42,Hell or High Water,2016,18+,7.6,97%,1,0,0,0,102.0
43,Sin City,2005,18+,8.0,77%,1,0,0,0,124.0
44,Ip Man,2008,18+,8.0,85%,1,0,0,0,106.0
45,Indiana Jones and the Temple of Doom,1984,7+,7.6,85%,1,0,0,0,118.0
46,The Theory of Everything,2014,13+,7.7,79%,1,0,0,0,123.0
47,The Pursuit of Happyness,2006,13+,8.0,67%,1,0,0,0,117.0
48,Senna,2010,13+,8.5,93%,1,0,0,0,106.0
49,Scott Pilgrim vs. the World,2010,13+,7.5,81%,1,0,0,0,112.0
50,Magnolia,1999,18+,8.0,83%,1,0,0,0,188.0
51,The Hateful Eight,2015,18+,7.8,75%,1,0,0,0,168.0
52,The Artist,2011,13+,7.9,95%,1,0,0,0,100.0
53,Moonlight,2016,18+,7.4,98%,1,0,0,0,111.0
54,Back to the Future Part II,1989,7+,7.8,65%,1,0,0,0,108.0
55,Willy Wonka & the Chocolate Factory,1971,all,7.8,91%,1,0,0,0,100.0
56,What's Eating Gilbert Grape,1993,13+,7.8,90%,1,0,1,0,118.0
57,The Curious Case of Benjamin Button,2008,13+,7.8,71%,1,0,0,0,166.0
59,Snowpiercer,2013,18+,7.1,94%,1,0,0,0,60.0
60,Hugo,2011,7+,7.5,93%,1,0,0,0,126.0
61,Ant-Man and the Wasp,2018,13+,7.1,88%,1,0,0,0,118.0
62,As Good as It Gets,1997,13+,7.7,85%,1,0,0,0,139.0
63,Back to the Future Part III,1990,7+,7.4,80%,1,0,0,0,118.0
64,Searching for Sugar Man,2012,13+,8.2,95%,1,0,0,0,86.0
65,Road to Perdition,2002,18+,7.7,81%,1,0,0,0,117.0
66,To All the Boys I've Loved Before,2020,13+,7.2,97%,1,0,0,0,99.0
67,Molly's Game,2017,18+,7.4,82%,1,0,0,0,140.0
68,Blackfish,2013,13+,8.1,98%,1,1,0,0,83.0
69,El Camino: A Breaking Bad Movie,2019,18+,7.4,91%,1,0,0,0,122.0
70,The Invisible Guest,2016,18+,8.1,67%,1,0,0,0,106.0
71,Song of the Sea,2014,7+,8.1,99%,1,0,0,0,93.0
72,End of Watch,2012,18+,7.6,85%,1,0,0,0,109.0
73,The Evil Dead,1981,18+,7.5,95%,1,0,0,0,85.0
74,About Time,2013,18+,7.8,68%,1,0,0,0,123.0
75,Kung Fu Hustle,2004,18+,7.7,90%,1,0,0,0,99.0
76,Blue Is the Warmest Color,2013,18+,7.7,89%,1,0,0,0,180.0
77,Y Tu Mamá También,2001,18+,7.6,92%,1,0,0,0,106.0
78,The Naked Gun: From the Files of Police Squad!,1988,13+,7.6,87%,1,0,0,0,85.0
79,Mud,2013,13+,7.4,97%,1,0,0,0,130.0
80,The Edge of Seventeen,2016,18+,7.3,94%,1,0,0,0,104.0
81,Philadelphia,1993,13+,7.7,80%,1,0,0,0,22.0
82,Lagaan: Once Upon a Time in India,2001,7+,8.1,95%,1,0,0,0,224.0
83,Tucker and Dale vs. Evil,2010,18+,7.5,85%,1,0,0,0,89.0
84,The Matrix Reloaded,2003,18+,7.2,73%,1,0,0,0,138.0
85,The Two Popes,2019,13+,7.6,89%,1,0,0,0,125.0
86,The Last Samurai,2003,18+,7.7,66%,1,0,0,0,154.0
87,The Florida Project,2017,18+,7.6,96%,1,0,0,0,111.0
88,13th,2016,18+,8.2,96%,1,0,0,0,100.0
89,Bahubali: The Beginning,2015,13+,8.1,88%,1,0,0,0,159.0
91,Dolemite Is My Name,2019,18+,7.3,97%,1,0,0,0,118.0
92,Tarzan,1999,all,7.3,89%,1,0,0,0,110.0
93,The Platform,2019,18+,7.0,82%,1,0,0,0,94.0
94,Okja,2017,13+,7.3,87%,1,0,0,0,120.0
95,Roma,2018,18+,7.7,96%,1,0,0,0,52.0
96,Saving Mr. Banks,2013,13+,7.5,79%,1,0,0,1,125.0
97,Icarus,2017,18+,7.9,93%,1,0,0,0,120.0
98,Jiro Dreams of Sushi,2011,7+,7.9,99%,1,1,0,0,81.0
99,Corpse Bride,2005,7+,7.3,84%,1,0,0,0,77.0
100,Jerry Maguire,1996,18+,7.3,83%,1,0,0,0,139.0
101,The Death of Stalin,2017,18+,7.2,96%,1,0,0,0,107.0
102,GoldenEye,1995,13+,7.2,78%,1,0,0,0,130.0
103,The Boy in the Striped Pyjamas,2008,13+,7.8,63%,1,0,0,0,94.0
104,Amy,2015,18+,7.8,95%,1,0,1,1,60.0
105,Ralph Breaks the Internet,2018,7+,7.1,88%,1,0,0,0,112.0
106,Good Time,2017,18+,7.4,92%,1,0,0,0,102.0
107,Ip Man 2,2010,18+,7.5,96%,1,0,0,0,108.0
108,The Little Prince,2015,7+,7.7,93%,1,0,0,0,108.0
109,The Spectacular Now,2013,18+,7.1,91%,1,0,0,0,95.0
110,Baahubali 2: The Conclusion,2017,7+,8.2,89%,1,0,0,0,167.0
112,PK,2014,13+,8.1,76%,1,0,0,0,153.0
113,Extraction,2020,18+,6.8,68%,1,0,0,0,116.0
114,The Lobster,2015,18+,7.2,87%,1,0,0,0,119.0
115,Blue Valentine,2010,18+,7.4,87%,1,0,0,0,112.0
116,Zindagi Na Milegi Dobara,2011,7+,8.1,91%,1,0,0,0,155.0
117,Green Room,2015,18+,7.0,91%,1,0,0,0,95.0
118,Kung Fu Panda 2,2011,7+,7.2,81%,1,0,0,0,90.0
119,The Ballad of Buster Scruggs,2018,18+,7.3,91%,1,0,0,0,133.0
120,Cloverfield,2008,13+,7.0,77%,1,0,0,0,85.0
121,Burning,2018,18+,7.5,95%,1,0,0,0,148.0
122,The Adventures of Tintin,2011,7+,7.3,74%,1,0,0,0,107.0
123,Bolt,2008,7+,6.8,89%,1,0,0,1,96.0
125,Chasing Amy,1997,18+,7.2,87%,1,0,0,0,113.0
126,The Princess and the Frog,2009,all,7.1,85%,1,0,0,1,97.0
127,Bad Genius,2017,13+,7.6,100%,1,0,0,0,130.0
128,The Wicker Man,1973,18+,7.5,89%,1,0,0,0,88.0
129,A Single Man,2009,18+,7.6,85%,1,0,0,0,99.0
130,Blow,2001,18+,7.6,55%,1,0,0,0,124.0
131,The Squid and the Whale,2005,18+,7.3,92%,1,0,1,0,81.0
132,My Life as a Zucchini,2016,13+,7.8,99%,1,0,0,0,66.0
133,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,7.7,94%,1,0,0,0,94.0
134,Barfi!,2012,all,8.1,86%,1,0,0,0,151.0
135,Frances Ha,2013,18+,7.5,92%,1,0,0,0,86.0
136,Tootsie,1982,7+,7.4,90%,1,0,0,0,116.0
137,Solo: A Star Wars Story,2018,13+,6.9,70%,1,0,0,0,135.0
138,Steve Jobs,2015,18+,7.2,85%,1,0,0,0,122.0
139,Tremors,1990,13+,7.1,88%,1,0,0,0,96.0
140,The Croods,2013,7+,7.2,71%,1,0,0,0,98.0
141,Locke,2014,18+,7.1,91%,1,0,0,0,85.0
142,Bill Burr: I'm Sorry You Feel That Way,2014,18+,8.4,100%,1,0,0,0,80.0
143,Starred Up,2013,18+,7.4,99%,1,0,1,0,106.0
144,Mudbound,2017,18+,7.4,97%,1,0,0,0,134.0
145,Austin Powers: International Man of Mystery,1997,13+,7.0,71%,1,0,0,0,94.0
146,Blue Ruin,2013,18+,7.1,96%,1,0,0,0,90.0
147,The Patriot,2000,18+,7.2,61%,1,1,0,0,165.0
148,Babel,2006,18+,7.4,69%,1,0,0,0,143.0
150,Gerald's Game,2017,18+,6.6,90%,1,0,0,0,103.0
151,Miracle,2004,7+,7.5,81%,1,0,0,1,135.0
152,Swades,2004,all,8.2,83%,1,0,0,0,210.0
153,Tinker Tailor Soldier Spy,2011,18+,7.1,83%,1,0,0,0,122.0
154,The Witch,2015,18+,6.9,90%,1,0,0,0,92.0
155,Haider,2014,13+,8.1,86%,1,0,0,0,160.0
156,Padman,2018,13+,7.9,100%,1,0,0,0,140.0
157,Hush,2016,18+,6.6,91%,1,0,0,0,82.0
158,Elizabeth,1998,18+,7.4,82%,1,0,0,0,124.0
159,Miss Americana,2020,18+,7.4,93%,1,0,0,0,85.0
160,Christopher Robin,2018,7+,7.3,73%,1,0,0,0,104.0
161,I Lost My Body,2019,18+,7.6,96%,1,0,0,0,81.0
162,I Am Mother,2019,13+,6.7,90%,1,0,0,0,113.0
163,Lupin the Third: The Castle of Cagliostro,1979,7+,7.7,94%,1,0,0,0,100.0
164,The Autopsy of Jane Doe,2016,18+,6.8,86%,1,0,0,0,86.0
166,Freedom Writers,2007,13+,7.5,70%,1,0,1,0,123.0
167,The Master,2012,18+,7.2,85%,1,0,0,0,138.0
168,A Serious Man,2009,18+,7.0,90%,1,0,0,0,106.0
169,The King,2019,18+,7.2,70%,1,0,0,0,140.0
170,The Breadwinner,2017,13+,7.7,95%,1,0,0,0,94.0
171,The Boy Who Harnessed the Wind,2019,7+,7.6,87%,1,0,1,0,113.0
173,The Killing of a Sacred Deer,2017,18+,7.0,79%,1,0,0,0,121.0
174,Lawless,2012,18+,7.3,67%,1,0,0,0,116.0
175,Kabhi Khushi Kabhie Gham,2001,all,7.4,100%,1,0,0,0,210.0
176,Charlie and the Chocolate Factory,2005,7+,6.6,82%,1,0,0,0,115.0
177,Freaks,2019,18+,6.7,87%,1,0,0,0,105.0
179,The Mask of Zorro,1998,13+,6.7,82%,1,0,0,0,136.0
180,The Natural,1984,7+,7.5,82%,1,0,0,0,138.0
181,Equilibrium,2002,18+,7.4,40%,1,0,0,0,107.0
182,Arthur Christmas,2011,7+,7.1,92%,1,0,0,0,97.0
183,The Rainmaker,1997,13+,7.2,83%,1,0,1,0,135.0
185,Always Be My Maybe,2019,13+,6.8,89%,1,0,0,0,101.0
186,The Crying Game,1992,18+,7.2,94%,1,0,0,0,112.0
187,War Horse,2011,13+,7.2,74%,1,0,0,0,146.0
188,Shot Caller,2017,18+,7.3,69%,1,0,0,0,121.0
190,A Most Violent Year,2014,18+,7.0,89%,1,0,0,0,125.0
191,The Other Guys,2010,13+,6.6,78%,1,0,0,0,107.0
192,Kapoor & Sons,2016,13+,7.7,100%,1,0,0,0,132.0
194,The Fundamentals of Caring,2016,18+,7.3,77%,1,0,1,0,97.0
195,Insidious,2010,13+,6.8,66%,1,0,0,0,103.0
196,Bill Burr: Paper Tiger,2019,18+,8.2,86%,1,0,0,0,67.0
197,Bad Boys,1995,18+,6.9,43%,1,0,0,0,119.0
198,The Foreigner,2017,18+,7.0,65%,1,0,0,0,113.0
199,The Danish Girl,2015,18+,7.1,67%,1,0,0,0,119.0
200,The Girl with All the Gifts,2016,18+,6.6,86%,1,0,0,0,111.0
201,Bird Box,2018,18+,6.6,63%,1,0,0,0,124.0
202,The Ring,2002,13+,7.1,71%,1,0,1,0,115.0
203,Hostiles,2017,18+,7.2,72%,1,0,0,0,134.0
205,Trumbo,2015,18+,7.5,74%,1,0,1,0,124.0
206,LA 92,2017,18+,8.2,92%,1,0,0,0,114.0
207,20th Century Women,2016,18+,7.3,88%,1,0,0,0,119.0
208,Kal Ho Naa Ho,2003,all,8.0,70%,1,0,0,0,186.0
209,Swiss Army Man,2016,18+,7.0,71%,1,0,0,0,97.0
210,In This Corner of the World,2016,13+,7.8,97%,1,0,0,0,129.0
211,A Ghost Story,2017,18+,6.9,91%,1,0,0,0,92.0
212,United 93,2006,18+,7.5,90%,1,0,0,0,111.0
213,Patriot Games,1992,18+,6.9,72%,1,0,1,0,117.0
214,The Secret Life of Pets 2,2019,7+,6.5,60%,1,0,0,0,86.0
215,Hitch,2005,13+,6.6,68%,1,1,0,0,118.0
217,Enemy,2013,18+,6.9,71%,1,0,0,0,91.0
218,Mirage,2018,18+,7.4,71%,1,0,1,0,128.0
219,Everybody's Everything,2019,18+,7.4,100%,1,0,0,0,116.0
220,Indiana Jones and the Kingdom of the Crystal Skull,2008,13+,6.1,78%,1,0,0,0,122.0
222,I Don't Feel at Home in This World Anymore,2017,18+,6.9,88%,1,0,0,0,93.0
224,Julie & Julia,2009,13+,7.0,77%,1,0,0,0,123.0
226,Under the Shadow,2016,13+,6.9,99%,1,0,0,0,84.0
227,Angel Has Fallen,2019,18+,6.4,39%,1,0,0,0,121.0
228,Kon-Tiki,2012,13+,7.2,81%,1,0,1,0,118.0
229,Mary Poppins Returns,2018,7+,6.7,79%,1,0,0,0,130.0
230,Kajaki,2014,18+,7.1,100%,1,0,0,0,108.0
232,The Night Comes for Us,2018,18+,7.0,92%,1,0,0,0,121.0
233,Blood Father,2016,18+,6.4,89%,1,0,0,0,88.0
234,Stree,2018,7+,7.6,77%,1,0,0,0,128.0
235,American Factory,2019,16+,7.4,97%,1,0,0,0,110.0
237,Salt,2010,13+,6.4,62%,1,0,0,0,100.0
238,The Hundred-Foot Journey,2014,7+,7.3,67%,1,0,0,0,122.0
240,Scooby-Doo on Zombie Island,1998,all,7.8,86%,1,0,0,0,77.0
242,The End of the Tour,2015,18+,7.3,92%,1,0,0,0,106.0
243,The One I Love,2014,18+,7.1,82%,1,0,0,0,91.0
244,Underworld,2003,18+,7.0,31%,1,0,0,0,121.0
245,The Death of Mr. Lazarescu,2005,18+,7.9,93%,1,0,0,0,153.0
246,Madagascar: Escape 2 Africa,2008,7+,6.6,64%,1,0,0,0,89.0
247,The Wolf's Call,2019,16+,6.9,92%,1,0,0,0,115.0
248,What Happened to Monday,2017,18+,6.9,59%,1,0,0,0,123.0
249,The Willoughbys,2020,7+,6.4,90%,1,0,0,0,90.0
250,The White Helmets,2016,16+,7.5,100%,1,0,0,0,41.0
252,The Matrix Revolutions,2003,18+,6.8,35%,1,0,0,0,129.0
253,Richard Pryor: Live in Concert,1979,18+,8.2,92%,1,0,0,0,78.0
254,Austin Powers: The Spy Who Shagged Me,1999,13+,6.6,52%,1,0,0,0,95.0
255,Get Him to the Greek,2010,18+,6.4,72%,1,0,0,0,109.0
256,Slow West,2015,18+,6.9,92%,1,0,0,0,84.0
257,The Meyerowitz Stories (New and Selected),2017,18+,6.9,93%,1,0,0,0,112.0
259,The Perfection,2018,18+,6.1,83%,1,0,0,0,90.0
260,Ip Man 3,2015,13+,7.1,78%,1,0,0,0,105.0
261,Sinister,2012,18+,6.8,64%,1,0,0,0,110.0
263,20 Feet from Stardom,2013,13+,7.4,99%,1,0,0,0,91.0
264,The Stanford Prison Experiment,2015,18+,6.9,84%,1,0,0,0,122.0
265,My Week with Marilyn,2011,13+,7.0,83%,1,0,0,0,99.0
266,Catfish,2010,13+,7.1,80%,1,0,0,0,87.0
269,Jarhead,2005,18+,7.0,61%,1,0,0,0,125.0
270,Yes Man,2008,13+,6.8,46%,1,0,0,0,104.0
272,Goon,2012,18+,6.8,81%,1,0,0,0,92.0
273,Ace Ventura: Pet Detective,1994,13+,6.9,48%,1,0,0,0,86.0
274,Inequality for All,2013,7+,8.0,90%,1,0,0,0,89.0
275,Olympus Has Fallen,2013,18+,6.5,49%,1,0,0,0,119.0
276,Dave Chappelle: Sticks & Stones,2019,18+,8.5,35%,1,0,0,0,65.0
277,John Mulaney: Kid Gorgeous at Radio City,2018,18+,7.9,100%,1,0,0,0,65.0
278,La Bamba,1987,13+,6.9,90%,1,0,0,0,108.0
279,Public Enemies,2009,18+,7.0,68%,1,0,0,0,140.0
280,Supersonic,2016,18+,7.9,84%,1,0,0,0,122.0
281,The Edge of Democracy,2019,16+,7.1,97%,1,0,0,0,121.0
282,The Polar Express,2004,all,6.6,56%,1,0,0,0,100.0
283,Under the Skin,2014,18+,6.3,85%,1,0,0,0,108.0
284,Crip Camp: A Disability Revolution,2020,18+,7.8,100%,1,0,0,0,106.0
286,Hey Arnold! The Jungle Movie,2017,7+,7.6,100%,1,1,0,0,81.0
287,Zack and Miri Make a Porno,2008,18+,6.5,65%,1,0,0,0,101.0
288,The Score,2001,18+,6.8,73%,1,0,1,0,124.0
289,Hamburger Hill,1987,18+,6.7,100%,1,0,1,0,110.0
290,9,2009,13+,7.1,57%,1,0,0,0,79.0
291,Undefeated,2011,13+,7.7,96%,1,0,0,0,113.0
293,A Shaun the Sheep Movie: Farmageddon,2019,all,6.9,97%,1,0,0,0,86.0
294,April and the Extraordinary World,2015,7+,7.3,96%,1,0,0,0,105.0
295,The Highwaymen,2019,18+,6.9,57%,1,0,0,0,132.0
